col_index,ver11_col,ver00_col
280,44-11,44.你能使用生成式AI(如ChatGPT，Copilot，Gemini等)進行以下任務嗎？ - 44-11.在考慮一系列潛在原因後，辨識程式碼中錯誤的來源（Debug）。
281,45,45.學校老師是否有教如何使用生成式AI(如Chat GPT，Copilot，Gemini等)？
282,46-1,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-1.創造建立包含圖片、聲音或影片的多媒體展示。
283,46-2,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-2.撰寫學校作業。
284,46-3,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-3.在線上搜尋關於現實世界問題或現象的資訊（例如氣候變化、石油泄漏、測量建築物的高度）。
285,46-4,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-4.分析收集和記錄資料。
286,46-5,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-5.報告或分享自己的實驗或調查結果。
287,46-6,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-6.規劃和管理工作或項目（例如劃分任務、管理截止日期）。
288,46-7,46.學校老師會教你使用生成式AI(如Chat GPT，Copilot，Gemini等)來進行以下任務嗎？ - 46-7.跟其他同學合作創建數位內容（例如腳本、演員台詞等）。
289,47,47.學校的資訊科技課程教學內容包含：【可複選】-(1)計算機（電腦）基本概念：介紹計算機（電腦）的基本組成，如硬體（CPU、記憶體、儲存裝置等）和軟體（操作系統、應用程式）
290,47_1,47.學校的資訊科技課程教學內容包含：【可複選】-(2)基本電腦操作技能：教授學生如何使用作業系統（如Windows或macOS）、文書處理軟體（如Word）、表格軟體（如Excel）和簡報軟體（如PowerPoint）
291,47_2,47.學校的資訊科技課程教學內容包含：【可複選】-(3)程式設計與邏輯：學習使用網際網路，包括瀏覽器的使用、資訊搜尋技巧、以及網路安全和隱私保護的基本知識
292,47_3,47.學校的資訊科技課程教學內容包含：【可複選】-(4)多媒體應用：學習如何使用各種多媒體工具，比如圖像編輯、影音編輯軟體
293,47_4,47.學校的資訊科技課程教學內容包含：【可複選】-(5)資訊倫理與數位公民素養：討論網路禮儀、數位版權、網路霸凌以及在線上為的影響
294,47_5,47.學校的資訊科技課程教學內容包含：【可複選】-(6)基礎數據資料處理與分析：介紹如何收集、整理和簡單分析數據資料，可能使用表格軟體或其他基本工具
295,47_6,47.學校的資訊科技課程教學內容包含：【可複選】-(7)探索性資訊科技項目：鼓勵學生進行小型項目，應用所學知識解決實際問題或進行創意創作。
296,47_7,47.學校的資訊科技課程教學內容包含：【可複選】-(8)以上均無
297,48,48.學校的科技領域課程對我的數位知識與能力有幫助
298,49,49.整體來說，你對自己的生活感到滿意嗎？
299,50,50.整體來說，你覺得最近的日子過得快樂嗎？
300,51,51.整體而言，你覺得自己目前的健康狀況如何？
301,52-1,52.下列是有關你對自己的描述，你同不同意？ - 52-1.我是個有價值（有用）的人。
302,52-2,52.下列是有關你對自己的描述，你同不同意？ - 52-2.我用積極樂觀的態度看待我自己。
303,52-3,52.下列是有關你對自己的描述，你同不同意？ - 52-3.我很滿意我自己。
304,53-1,53.你有多同意下列的敘述？ - 53-1.當我緊張的時候，我可以感覺到身體的變化，如心跳加快。
305,53-2,53.你有多同意下列的敘述？ - 53-2.當我的情緒讓我無法專注的時候，我會感覺到。
306,53-3,53.你有多同意下列的敘述？ - 53-3.我可以感受到自己的情緒。
307,53-4,53.你有多同意下列的敘述？ - 53-4.當我難過的時候，我知道如何讓自己感覺好一點。
308,53-5,53.你有多同意下列的敘述？ - 53-5.我知道如何讓自己平靜下來。
309,53-6,53.你有多同意下列的敘述？ - 53-6.當我感到沮喪時，我會調整自己以度過低潮。
310,53-7,53.你有多同意下列的敘述？ - 53-7.我會為自己設定目標。
311,53-8,53.你有多同意下列的敘述？ - 53-8.我會達成自己所設定的目標。
312,53-9,53.你有多同意下列的敘述？ - 53-9.我會思考達到目標所需要採取的步驟。
313,53-10,53.你有多同意下列的敘述？ - 53-10.我會跟同學好好的相處。
314,53-11,53.你有多同意下列的敘述？ - 53-11.我會跟別人分享自己的感受或想法。
315,53-12,53.你有多同意下列的敘述？ - 53-12.在學校有困難或問題時，我會找老師或認識的大人聊聊。
316,53-13,53.你有多同意下列的敘述？ - 53-13.我會接納那些我不熟悉的人。
317,53-14,53.你有多同意下列的敘述？ - 53-14.我從別人的臉部表情知道他們當時可能的感受。
318,53-15,53.你有多同意下列的敘述？ - 53-15.我知道別人何時需要幫助。
319,53-16,53.你有多同意下列的敘述？ - 53-16.當我跟同學相處有問題時，我知道如何尋求協助。
320,53-17,53.你有多同意下列的敘述？ - 53-17.在做決定前，我預先思考之後可能發生的情況。
321,53-18,53.你有多同意下列的敘述？ - 53-18.我知道哪些事情是對的、哪些事情是不對的。
322,53-19,53.你有多同意下列的敘述？ - 53-19.我會去想不同的方法來解決問題。
323,53-20,53.你有多同意下列的敘述？ - 53-20.當朋友或同學要違反規定時，我會告訴他們這是不對的。
324,54-1,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-1.我的胃口不好
325,54-2,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-2.我的睡眠情況不好
326,54-3,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-3.我覺得悲傷
327,54-4,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-4.我覺得自己是一個壞人
328,54-5,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-5.我想傷害自己
329,54-6,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-6.我對平時有興趣做的事情都失去興趣
330,54-7,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-7.我覺得自己的行動太緩慢
331,54-8,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-8.我總是感到疲憊
332,54-9,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-9.我寧願自己已經死亡
333,54-10,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-10.我無法集中精神做一些重要的事情
334,54-11,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-11.我覺得坐立不安
335,54-12,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-12.我覺得很寂寞(孤單、沒伴)
336,54-13,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-13.我感到緊張焦慮
337,54-14,54.請勾選在過去1到2週你感受到下列選項之頻率。 - 54-14.我不能停止或是無法控制擔心
338,55-1,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-1.我感到情緒開朗且精神不錯。
339,55-2,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-2.我感到心情平靜和放鬆。
340,55-3,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-3.我感到有活力且精力充沛。
341,55-4,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-4.我醒來感到神清氣爽並有充分休息。
342,55-5,55.請問過去兩週中，你對以下敘述的感受程度？ - 55-5.我的日常生活中充滿讓我感興趣的事物。
343,上午_______點,上午_______點
344,_______分,_______分
345,下午_______點,下午_______點
346,_______分.1,_______分.1
347,58-1,58-1.過去一個月來，在需要上課的日子，你通常幾點上床睡覺？
348,_______點_______分,_______點_______分
349,_______分.2,_______分.2
350,58-2,58-2.過去一個月來，在需要上課的日子，你通常幾點起床？
351,_______點_______分.1,_______點_______分.1
352,_______分.3,_______分.3
353,58-3,58-3.過去一個月來，在放假前一天或不需要上課的日子， 你通常幾點上床睡覺？
354,_______點_______分.2,_______點_______分.2
355,_______分.4,_______分.4
356,58-4,58-4.過去一個月來，在不需要上課的日子，你通常幾點起床？
357,_______點_______分.3,_______點_______分.3
358,_______分.5,_______分.5
359,58-5,58-5.過去一個月來，你整體的睡眠品質好不好？
360,59,59. 我們的社會中，有一群人比較接近上層，有一群人比較接近下層。下面有一個由上到下的圖表，請問你認為自己的家庭最接近這個圖表裡面的哪一層？
361,60-1,60.你同意以下敘述嗎？ - 60-1.做任何決定前，我會試著去了解每個人不同的意見
362,60-2,60.你同意以下敘述嗎？ - 60-2.為了想更了解朋友，我會設法以他們的立場與角度看待事情
363,60-3,60.你同意以下敘述嗎？ - 60-3.當有人感到難過時，我通常可以理解他們的感受
364,60-4,60.你同意以下敘述嗎？ - 60-4.當我對某人感到失望時，我會先設身處地的為他想
365,60-5,60.你同意以下敘述嗎？ - 60-5.批評別人之前，我會嘗試想像如果換做自己，在當下會有什麼感受
366,61-1,61.請告訴我下列敘述符不符合你個人的情況？ - 61-1.你不會因為休閒娛樂而耽誤應該要完成的功課或工作。
367,61-2,61.請告訴我下列敘述符不符合你個人的情況？ - 61-2.你不需要別人提醒就會自動去做功課或工作。
368,61-3,61.請告訴我下列敘述符不符合你個人的情況？ - 61-3.做事時你能集中注意力。
369,61-4,61.請告訴我下列敘述符不符合你個人的情況？ - 61-4.你對生活和學習的意義感到迷惘，所以你選擇什麼事都不做。
370,61-5,61.請告訴我下列敘述符不符合你個人的情況？ - 61-5.你覺得靠你個人的努力很難改變什麼，所以你選擇放棄打拼。
371,61-6,61.請告訴我下列敘述符不符合你個人的情況？ - 61-6.你總是很不情願去做那些需要努力才能完成的事情。
372,61-7,61.請告訴我下列敘述符不符合你個人的情況？ - 61-7.你喜歡冒險。
373,61-8,61.請告訴我下列敘述符不符合你個人的情況？ - 61-8.你會去做大部分的人覺得危險的事情。
374,61-9,61.請告訴我下列敘述符不符合你個人的情況？ - 61-9.對你來說，生命如果沒有冒險就會黯然失色。
375,62-1,62-1.鋁箔包、樂利包或瓶裝的含糖飲料
376,62-2,62-2.手搖杯
377,62-3,62-3.提神或能量飲料（如蠻牛、red bull、Monster等）
378,63,63.過去一個月中，你平均每天喝多少次咖啡？
379,64,64.請問你的身高______公分（僅能填答阿拉伯數字）
380,65,65.請問你的體重______公斤（僅能填答阿拉伯數字）
381,66,66.請勾選出你認為最符合你目前體型的選項：
